Name,Context,Cleaned,Selective,Selective_Reduced,TF_Based
Full Stack Developer.docx,"Full-Stack Developer

Employment Type:

Full-time

Shift Asia is a leading company in Software Testing. We are building a new team of talented engineer to extend the software development service. We place the value of service quality on top of our priority; therefore, we are looking for exceptional full-stack engineers to join our new business software development team. The candidate must have strong technical expertise in front-end as well as back-end development. The candidate will work closely with customers to gather requirements, analyse and implement them into the product.

Responsibilities:

Gather the requirements and provide sound solutions for the requirements.

GUI development by utilization of new front-end technologies (SPA and PWA).

Write efficient and stable code in support for the backend API.

Work alongside with other engineers in teams to promote technology and ensure consistency in accordance with industry best practices.

Provide recommendation for continuous improvement.

Self-driven individual to work independently, yet collaboration as a team member to reach a collective team goal.

Required Skills and Experiences:

Have experience in working within the Agile methodology.

Have strong knowledge in REST API.

Experience with backend API development by using one of the following programming languages: JavaScript (NodeJS), Java, Ruby, PHP, Python or Scala.

Experience with JavaScript or TypeScript with ReactJS, Angular, or Vue.

Experience with Docker.

Experience with NoSQL database.

Experience with Relational database.

Familiar with AWS platform (EC2, S3, ECR, RDS).

Experience with Scrum/Agile development methodologies.

Communicate in English or Japanese.",FullStack Developer Employment Type Fulltime Shift Asia lead company Software Testing build new team talented engineer extend software development service place value service quality top priority therefore look exceptional fullstack engineer join new business software development team candidate strong technical expertise frontend well backend development candidate work closely customer gather requirement analyse implement product Responsibilities Gather requirement provide sound solution requirement GUI development utilization new frontend technology SPA PWA write efficient stable code support backend API Work engineer team promote technology ensure consistency accordance industry good practice provide recommendation continuous improvement selfdriven individual work independently yet collaboration team member reach collective team goal Required Skills Experiences experience work Agile methodology have strong knowledge REST API Experience backend api development use follow programming language JavaScript NodeJS Java Ruby PHP Python Scala Experience JavaScript TypeScript reactjs Angular Vue Experience Docker Experience nosql database Experience Relational database familiar AWS platform EC2 S3 ECR RDS Experience ScrumAgile development methodology Communicate English Japanese,Work knowledge api Experience Employment recommendation value backend place promote SPA utilization collective work Asia collaboration REST candidate ensure stable programming analyse reactjs engineer quality methodology Relational Skills look frontend Shift industry extend Docker follow API development continuous lead gather nosql top PHP Ruby have RDS AWS platform reach sound software familiar implement ScrumAgile technical FullStack efficient Gather therefore English TypeScript well requirement JavaScript technology individual support member Communicate exceptional company improvement Python Japanese code selfdriven Agile new Java Angular fullstack GUI expertise build yet Responsibilities customer service Developer good strong PWA language Experiences database priority goal Fulltime join business closely Testing use accordance Required talented Software solution product consistency practice Scala S3 experience provide ECR write Type independently team NodeJS EC2 Vue,knowledge api Experience Employment recommendation value backend place SPA utilization work Asia collaboration REST candidate programming analyse reactjs engineer quality methodology Relational frontend Shift industry Docker follow API development lead PHP Ruby RDS AWS platform sound software ScrumAgile technical FullStack Gather English TypeScript requirement JavaScript technology support member Communicate company improvement Python code Agile Java Angular fullstack GUI expertise customer service Developer PWA language database priority goal Fulltime business use accordance Required Software solution product consistency practice Scala S3 experience ECR Type team NodeJS EC2 Vue,accordance agile analyse angular api asia aws backend build business candidate closely code collaboration collective communicate company consistency continuous customer database developer development docker ec2 ecr efficient employment engineer english ensure exceptional experience experiences expertise extend familiar follow frontend fullstack fulltime gather goal good gui have implement improvement independently individual industry japanese java javascript join knowledge language lead look member methodology new nodejs nosql php place platform practice priority product programming promote provide pwa python quality rds reach reactjs recommendation relational required requirement responsibilities rest ruby s3 scala scrumagile selfdriven service shift skills software solution sound spa stable strong support talented team technical technology testing therefore top type typescript use utilization value vue well work write yet
Test Designer.docx,"Test Designer (Japanese N2)

Employment Type:

Full-time

Responsibilities:

Work with Japan customers to understand project requirements.

Analyze project requirements, design optimal test cases follow SHIFT Japan’s methodologies.

Assign tasks, support and manage team members.

Required Skills and Experiences:

Have experiences in Japanese projects as QA/QC, Tester, Developer, Project Manager, BrSE…positions.

High management and people skills such as problem solving, negotiation, planning, reporting…

Excellent at Japanese (equivalent N2 level), good at English.",test Designer japanese N2 Employment Type Fulltime Responsibilities Work Japan customer understand project requirement Analyze project requirement design optimal test case follow SHIFT Japans methodology assign task support manage team member Required Skills Experiences experience japanese project QAQC Tester Developer Project Manager BrSEpositions high management people skill problem solve negotiation planning report excellent japanese equivalent N2 level good English,optimal Work support member case high Employment design Japans manage Experiences management skill Project equivalent Fulltime Manager N2 task BrSEpositions solve level assign Required japanese Japan understand report Designer people experience Tester methodology Skills Type English Analyze Responsibilities planning QAQC customer team problem requirement Developer follow project negotiation excellent test good SHIFT,Work support member case Employment design management skill Project Fulltime Manager N2 task level assign Required Japan report Designer Tester methodology Skills Type English Analyze planning QAQC customer team problem requirement Developer project negotiation test SHIFT,analyze assign brsepositions case customer design designer developer employment english equivalent excellent experience experiences follow fulltime good high japan japanese japans level manage management manager member methodology n2 negotiation optimal people planning problem project qaqc report required requirement responsibilities shift skill skills solve support task team test tester type understand work
